LOCATION_ZIPCODE_x,Households,Median_income,White_Resident_Percentage
1438,192,61803,100
2630,902,61713,98.2
1259,250,61500,100
1238,2599,61492,95.8
2540,3969,61417,91.2
1056,8228,61410,96
2666,388,61408,93
2532,4948,61325,96.3
1085,15213,61211,89.8
2136,10598,61101,37.7
1562,4662,60943,94
1001,7000,60775,90.2
2169,24535,60775,71.2
1360,1255,60721,96.6
2638,1634,60625,98.2
1368,475,60568,98.1
2189,6056,60537,84.5
1585,1880,60521,96.1
2719,6764,60445,95.5
1022,1270,60353,93.7
1832,8389,60351,78.5
1930,12201,60229,95.8
2302,11628,60171,56.9
1053,575,59850,91.5
1344,628,59722,96.7
2633,1776,59545,94.8
1475,4025,59332,95.3
1453,16763,59248,78.7
1970,18117,58937,80.9
1346,207,58906,96.1
2538,1254,58814,95
1027,7968,58551,92.9
1535,1815,58438,96.4
1074,108,58140,100
2653,3030,58015,95.4
1225,1292,58007,99.1
2571,4493,57750,85
1256,300,57222,93.3
2673,3847,57094,94.9
1070,247,57031,94.3
2539,1379,56911,95.9
1255,358,56250,96.4
1012,223,56146,96
2670,644,56000,96.9
2145,9785,55774,70.5
2148,22866,55407,55.7
1242,106,55333,100
1378,350,55278,96.9
1830,10066,55237,80.6
1002,9494,55082,76.1
1349,423,54727,95.5
1069,3430,54412,98.7
1245,348,53833,98
2122,8351,53576,40.8
1060,6589,53427,85.9
1370,1786,53300,98.2
1230,3209,53180,89.7
2861,10210,52816,79.8
1050,953,52813,92.5
1089,11400,52806,84.2
1081,715,52768,98.9
1082,4367,52709,96
1029,311,52566,95.5
1702,14414,52428,62.9
1020,12520,52236,84.6
1851,10160,52031,50.6
1339,671,51908,97.3
2660,3009,51631,93.9
1850,5501,51556,66.1
1240,2256,51396,94
1026,459,51213,96.3
2149,15317,51133,63.1
1331,5337,51002,94.3
2659,422,50897,96
2151,20120,50881,71
2111,3267,50783,46
2664,4374,50561,97
1375,1471,50417,87.4
2128,15453,50336,46.2
2780,19533,50307,86.5
1084,95,49886,100
1367,229,49792,97.8
2745,10182,49640,87.5
2150,11852,48775,37.9
1852,13357,48690,67.5
1092,476,48679,100
1518,1062,48676,98.1
1570,6734,48650,88.4
2163,531,48646,42.7
1301,7828,48612,92.3
1226,2802,48320,98.5
1604,14057,47865,73.1
1905,8503,47694,49.3
1119,4904,47417,55.7
2124,18041,47297,23.8
1260,92,47250,100
1262,611,47250,92.8
1525,103,47238,100
2652,499,47039,100
1257,940,46917,95.2
2135,17394,46858,71.7
1420,14782,46628,74.2
1440,8146,46464,93
2663,34,46429,100
1603,7026,46367,59.4
1340,710,46210,97.2
2542,311,45970,47.9
2125,12036,45581,35.9
2667,1571,45547,97.5
2126,9667,44792,4.6
1201,20171,44120,90.4
1843,8997,43920,35.7
2558,696,43900,75.1
2301,21338,43694,46.1
1079,248,43654,100
1031,568,43583,98.9
2671,437,42974,100
1854,9632,42948,58.4
1080,936,42794,90.6
2568,1216,42727,94.7
1607,3598,42397,66.9
1550,6642,42376,71.1
